From File,To File,References,From Entities,To Entities
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/type.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/writable-file.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/writable.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/arrow-glib.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/writer.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/array.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.h,48,2,26
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.cpp,3,3,2
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/composite-array.h,7,1,7
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/decimal128.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/error.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/type.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/gobject-type.h,26,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-array.hpp,/home/mmm/Projects/arrow/cpp/src/arrow/api.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.h,76,25,30
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/composite-data-type.h,6,1,6
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/data-type.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/error.h,4,2,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/error.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/field.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/type.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/decimal128.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/gobject-type.h,30,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/type.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/basic-data-type.hpp,/home/mmm/Projects/arrow/cpp/src/arrow/api.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.h,6,5,3
/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/error.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/error.hpp,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.h,/home/mmm/Projects/arrow/c_glib/arrow-glib/gobject-type.h,4,2,2
/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.hpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/buffer.hpp,/home/mmm/Projects/arrow/cpp/src/arrow/api.h,1,1,1
/home/mmm/Projects/arrow/c_glib/arrow-glib/chunked-array.cpp,/home/mmm/Projects/arrow/c_glib/arrow-glib/array.hpp,1,1,1
