From File,To File
IRecordInfo.java,Variant.java
IRecordInfo.java,WinDef.java
IRecordInfo.java,WinNT.java
IRecordInfo.java,WTypes.java
IRecordInfo.java,WString.java
IRunningObjectTable.java,IUnknown.java
IRunningObjectTable.java,Guid.java
IRunningObjectTable.java,WinBase.java
IRunningObjectTable.java,WinDef.java
IRunningObjectTable.java,WinNT.java
IRunningObjectTable.java,Pointer.java
IRunningObjectTable.java,PointerByReference.java
IShellFolder.java,Guid.java
IShellFolder.java,ShTypes.java
IShellFolder.java,WinDef.java
IShellFolder.java,WinNT.java
IShellFolder.java,Function.java
IShellFolder.java,Native.java
IShellFolder.java,Pointer.java
IShellFolder.java,IntByReference.java
IShellFolder.java,PointerByReference.java
ITypeComp.java,IUnknown.java
ITypeComp.java,OaIdl.java
ITypeComp.java,WinDef.java
ITypeComp.java,WinNT.java
