,,,,,,,,,,,cJAva
3580b58bf679532775edfb5e5a7f1082eb518f83,java,html,,,,,,,FALSE,TRUE,FALSE
7ea92aa9233928c7e1f530dd9914ddd002ec8d73,java,c,html,,,,,,TRUE,TRUE,TRUE
3c06e8b6fd3c6346d6f2c633ab439c5df4501840,java,html,,,,,,,FALSE,TRUE,FALSE
bf89f1d37d06385d5cb71b3a0dcce99c00fc89c9,java,html,,,,,,,FALSE,TRUE,FALSE
c397a0a4e30d046710bc61711bfb4d9cc6ea3cbd,c,java,,,,,,,TRUE,TRUE,TRUE
26a1212546e35c9bb6a93a7f0faa35752535883a,html,java,,,,,,,FALSE,TRUE,FALSE
28fc8ce789cb114a3a4827614c3fd34a70e7aa09,java,c,,,,,,,TRUE,TRUE,TRUE
3823533c1760f9f2d4c3e8349676f0be8f05e893,java,html,,,,,,,FALSE,TRUE,FALSE
598acf08dac493a40bd3b3a62435a3ad47320452,html,java,,,,,,,FALSE,TRUE,FALSE
941ed59c37f92b49c13df91a1563bf1f923608fe,html,java,,,,,,,FALSE,TRUE,FALSE
55eabb84e46bc1b827508323451a20f552875052,html,java,,,,,,,FALSE,TRUE,FALSE
89749c7eb14ecca56d1a7dfbe5218be9a4af8090,java,html,,,,,,,FALSE,TRUE,FALSE
6ed833bf285905607aa88901526ddc67b84d0202,c,java,,,,,,,TRUE,TRUE,TRUE
6cc7f69a5924f33747ab7b6153e26d1e18c495bb,html,java,,,,,,,FALSE,TRUE,FALSE
6d969eb92f4089a32e32fa5b486726250716883a,html,java,,,,,,,FALSE,TRUE,FALSE
2390543445148b46bb60d6281a94c7ab0a8c490e,c,java,,,,,,,TRUE,TRUE,TRUE
8bb92f5c195a3c73547496d866767d4ad8366ae6,c,java,,,,,,,TRUE,TRUE,TRUE
d7bb1e189fee9ff0744b6fbee5fd9e262ffa754a,c,java,,,,,,,TRUE,TRUE,TRUE
294267a6056481b3922f8c96311c3898e821e1b2,html,java,,,,,,,FALSE,TRUE,FALSE
1ae7d8373f9fcaf403897a33d6ea8536602b59fa,c,java,,,,,,,TRUE,TRUE,TRUE
240e2db6370d15a140b0d119cb8b6571c15e2643,c,html,java,,,,,,TRUE,TRUE,TRUE
b10c40260ce795ca74664e7ee731639cdf3739a0,html,java,,,,,,,FALSE,TRUE,FALSE
b331783c01e950a9dad179d66d4394ff818db60d,c,java,html,,,,,,TRUE,TRUE,TRUE
70faac1b6a950b0ab24d9b1eeb09bf0aa57a909a,c,java,html,,,,,,TRUE,TRUE,TRUE
6756267f48e3df3ef3e4b2fee85faa5b8fc13084,java,c,,,,,,,TRUE,TRUE,TRUE
fc33a22f270fb87ae32ec9f1d2be5be5314647ec,c,java,html,,,,,,TRUE,TRUE,TRUE
8523c487c11a996a54659c1ac304fcb7f483ca1a,java,html,,,,,,,FALSE,TRUE,FALSE
3b4f84ded81f4915b90664b8c29913916ed11328,c,html,java,,,,,,TRUE,TRUE,TRUE
f4e6c6ad94540f6dca84aad5ef424d3d3678ca74,html,java,,,,,,,FALSE,TRUE,FALSE
28f94cbd0be38a5162bffafe001ef9963c4bb68e,java,html,,,,,,,FALSE,TRUE,FALSE
b55b60cff47ea44d92b0eaf1f8e530cf91314ac2,c,java,,,,,,,TRUE,TRUE,TRUE
7c43abaf4ef2387a6e04e977cbf0d4700649243c,java,c,,,,,,,TRUE,TRUE,TRUE
e5dcc56056b8107888176448fbace5c0e1ad8111,java,c,,,,,,,TRUE,TRUE,TRUE
32442cd2c45ae1900c6b714d3c0bb33d2e8d8ccf,java,c,,,,,,,TRUE,TRUE,TRUE
7db8868043aab515921c54eee7a060a8f9179000,c,java,html,,,,,,TRUE,TRUE,TRUE
e5b184103066ae018d25d8712acc588b5dd34b62,html,java,,,,,,,FALSE,TRUE,FALSE
872cd3d7c059521353923230109cd21f12705921,html,java,,,,,,,FALSE,TRUE,FALSE
75f3ed2d5a655ae106a99fff2366759aa3b92f16,c,java,,,,,,,TRUE,TRUE,TRUE
caaddd1179a6cbec546d57d771ff58d075629951,c,java,,,,,,,TRUE,TRUE,TRUE
d66e9e98b703d9419cc55f961a3c16fbea52bc5a,c,java,,,,,,,TRUE,TRUE,TRUE
65b19cbbd374122b445a1fe5e9379fbffd06ca4d,html,java,,,,,,,FALSE,TRUE,FALSE
5dc6bfb195a7e309feb17ec9a69b4540b03fc7da,c,java,,,,,,,TRUE,TRUE,TRUE
6fc42f59e16ad0df2dfc01dc4861e8250033c991,c,java,,,,,,,TRUE,TRUE,TRUE
bd243519dfd7f66e75e869f570bf0f5b35ae27bb,c,java,,,,,,,TRUE,TRUE,TRUE
58a5185c209f69369fae1c9f47548cc978e1c5f9,c,java,,,,,,,TRUE,TRUE,TRUE
121430dac15831e57ec2a7998a7129c9618aa435,c,java,,,,,,,TRUE,TRUE,TRUE
97b43889a12b201b10736906c96bd39fe8b72cb8,c,html,java,,,,,,TRUE,TRUE,TRUE
41d6f8eeea6828f4c5283562b6d2e8d44b09cc1b,c,java,,,,,,,TRUE,TRUE,TRUE
4951c00d231a910350e94aae7cfa44dd8c177b7b,html,java,,,,,,,FALSE,TRUE,FALSE
c6ad9adbe01805700401aa612c7dfaee84969cce,java,html,,,,,,,FALSE,TRUE,FALSE
96a38d1895a2050bd6464d7f4d790caf346dc732,html,java,,,,,,,FALSE,TRUE,FALSE
5e91f76f0f57d91adbc771327d8a220e95db033b,java,html,,,,,,,FALSE,TRUE,FALSE
