,,,,,,,,,,,cJava
ae6e905323df3356e110c15808c7d4102da554c8,groovy,java,,,,,,,FALSE,TRUE,FALSE
21135c89b4e4572be0cbe0eaca9b85a82da7ee79,java,c++,,,,,,,TRUE,TRUE,TRUE
19fdf1af6bada9ebf4820839780d8713ac3824fa,java,c++,,,,,,,TRUE,TRUE,TRUE
f7c173fe9126dd4b413dbc998f3c1c7cf0882e54,java,c++,,,,,,,TRUE,TRUE,TRUE
2b3a4bd5770ba1cea36bb77ee2a3da9308c2868d,java,c++,,,,,,,TRUE,TRUE,TRUE
9b8d09282ded16c77de9d6777a3bb8201522fe17,java,c++,,,,,,,TRUE,TRUE,TRUE
9cf6e775b4d501d5a078ffee9f89be04ec3f1c3c,java,c++,,,,,,,TRUE,TRUE,TRUE
35beb3047b2b8ffc019f8218989a0255cc5e3818,java,c++,,,,,,,TRUE,TRUE,TRUE
7c5b76c986eb699e57c2018b3f86541333a3d2cb,java,c++,,,,,,,TRUE,TRUE,TRUE
39a25d2f9ed0d17849890f941e7989709ba5a60f,java,c++,,,,,,,TRUE,TRUE,TRUE
597fd4e460c114003257d1b007d1b75c53af9fd7,java,c++,,,,,,,TRUE,TRUE,TRUE
4e2cb4bf67fea13d03a84dae15847ec2eab34880,groovy,java,,,,,,,FALSE,TRUE,FALSE
4f475909f9659c5163717354dc81704650493e66,c++,java,groovy,,,,,,TRUE,TRUE,TRUE
923e3c5a80a6daefc14d4d0242ac46f23ac41b6a,java,c++,,,,,,,TRUE,TRUE,TRUE
c12c046e706de374276e3f9785cb4afc2e3a02fa,c++,java,,,,,,,TRUE,TRUE,TRUE
7c2b4ae9455185974ffe5ec1804c8980fe429635,c++,java,,,,,,,TRUE,TRUE,TRUE
796ed069bc90d1de9f45ea1f746edaeec8081ed3,c++,java,,,,,,,TRUE,TRUE,TRUE
18ed3be560a6d1c22dff225c66deaa4f10f849a2,java,c++,,,,,,,TRUE,TRUE,TRUE
eaeedc318b5fba9995fc64d15341017ec182fe4c,java,c++,,,,,,,TRUE,TRUE,TRUE
e66dbe5ad60417a4a9bf5ddf0bc3eb02652e43c8,java,c++,,,,,,,TRUE,TRUE,TRUE
7ed0fae1906061766d0042e69ccba20e4a702bbe,java,c++,,,,,,,TRUE,TRUE,TRUE
f8a9b546d57c4731805e73e1e96ff2fb3e77d6e0,java,c++,,,,,,,TRUE,TRUE,TRUE
68a3f229cd71c1367173ebc31e5363293b9b5dbc,c++,java,,,,,,,TRUE,TRUE,TRUE
81c666781f8e24242e997e2666b656b240c5a145,c++,java,,,,,,,TRUE,TRUE,TRUE
4d7e1f9c4f03e36a7a343a3c17d36c31cddc898b,java,c++,,,,,,,TRUE,TRUE,TRUE
e280fa1142fe9ac0eee3bb9507b80284d82d1b08,java,c++,,,,,,,TRUE,TRUE,TRUE
7b27ca77c328e510a165712a497c20b67c68e8a3,java,c++,,,,,,,TRUE,TRUE,TRUE
9b226f90a992a4a2267b7a813e3b869851945c4d,java,c++,,,,,,,TRUE,TRUE,TRUE
e526e75cfe12c2908d37b03562ac48a5bbefdf11,java,c++,,,,,,,TRUE,TRUE,TRUE
1305c13103f60a670ba6ebb18cf2821728e92d06,java,c++,,,,,,,TRUE,TRUE,TRUE
49854878b83114e3e15c7ad3ca030352b786b5df,java,c++,,,,,,,TRUE,TRUE,TRUE
d1b4488c3989dd2ab532edfe7058232a8491cdb4,c++,java,,,,,,,TRUE,TRUE,TRUE
60f83802801e224b51afac6c27c19e7c3d65ddc3,java,c++,,,,,,,TRUE,TRUE,TRUE
dac92c69d3a147ea57bc7bd28c96b6365c1988e2,java,c++,,,,,,,TRUE,TRUE,TRUE
5b1934c717914323ddb0395f549ae11075a587da,c++,java,,,,,,,TRUE,TRUE,TRUE
6e2315fd96c3c4a47450c1a437babacc94bc31a6,java,c++,,,,,,,TRUE,TRUE,TRUE
